#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/mellea
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-26
#curie_map: 
# mellea: https://w3id.org/lmodel/mellea/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# dcterms: http://purl.org/dc/terms/
# attack: https://w3id.org/lmodel/attack/
# common_domain_model: https://w3id.org/lmodel/common-domain-model/
# gist_linkml: https://w3id.org/lmodel/gist/
# iso27001: https://w3id.org/lmodel/iso27001/
# mcp: https://w3id.org/lmodel/mcp/
# nexus: https://ibm.github.io/ai-atlas-nexus/ontology/
# spdx: https://spdx.org/rdf/3.0.1/terms/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
mellea:ApiFieldSpec	ApiFieldSpec	skos:relatedMatch		spdx:DictionaryEntry		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:ApiFieldSpec	ApiFieldSpec	skos:closeMatch		gist_linkml:Component		skos:closeMatch	https://w3id.org/lmodel/mellea									
mellea:ApiModelSpec	ApiModelSpec	skos:relatedMatch		nexus:Input		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:ApiModelSpec	ApiModelSpec	skos:relatedMatch		mcp:JSONRPCRequest		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:ApiModelSpec	ApiModelSpec	skos:relatedMatch		mcp:JSONRPCResponse		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:ApiModelSpec	ApiModelSpec	skos:closeMatch		gist_linkml:Specification		skos:closeMatch	https://w3id.org/lmodel/mellea									
mellea:BackendSpec	BackendSpec	skos:relatedMatch		nexus:AiSystem		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:BackendSpec	BackendSpec	skos:relatedMatch		mcp:Implementation		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:BackendSpec	BackendSpec	skos:closeMatch		nexus:AiProvider		skos:closeMatch	https://w3id.org/lmodel/mellea									
mellea:BackendSpec	BackendSpec	skos:closeMatch		gist_linkml:Specification		skos:closeMatch	https://w3id.org/lmodel/mellea									
mellea:CliCommandSpec	CliCommandSpec	skos:relatedMatch		attack:Tool		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:CliCommandSpec	CliCommandSpec	skos:relatedMatch		iso27001:OperationalProcedure		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:CliCommandSpec	CliCommandSpec	skos:relatedMatch		spdx:Tool		skos:relatedMatch	https://w3id.org/lmodel/mellea									
mellea:CliCommandSpec	CliCommandSpec	skos:closeMatch		gist_linkml:TaskTemplate		skos:closeMatch	https://w3id.org/lmodel/mellea									
mellea:ComponentSpec	ComponentSpec	skos:closeMatch		nexus:AIComponent		skos:closeMatch	https://w3id.org/lmodel/mellea									
